var,est,lowCI,upCI,tsLength,buffer,responseVar,greenSpaceVar,biome,pollutant,aic,r2m,r2c
wind_abs,-0.0184332191640168,-0.027163435366082105,-0.009703002961951496,6,500,ConcentrationMax,treePerc,Forest mixed,NO2,-4316.310958311355,0.06896654669189163,0.8627646991710206
green,0.0019628004335861555,-0.006275460113502603,0.010201060980674914,6,500,ConcentrationMax,treePerc,Forest mixed,PM10,-1357.4587380613957,0.1083371885460091,0.8269470744862497
totEmission,0.01996069050070923,0.004680749108417936,0.03524063189300053,6,500,ConcentrationMax,treePerc,Forest mixed,PM10,-1357.4587380613957,0.1083371885460091,0.8269470744862497
total_precipitation,-0.030441273082037146,-0.0398399016727022,-0.021042644491372088,6,500,ConcentrationMax,treePerc,Forest mixed,PM10,-1357.4587380613957,0.1083371885460091,0.8269470744862497
relative_humidity,-0.039859046500414066,-0.04950818704342985,-0.030209905957398284,6,500,ConcentrationMax,treePerc,Forest mixed,PM10,-1357.4587380613957,0.1083371885460091,0.8269470744862497
temperature_2m,-0.067341753719629,-0.08043417875908132,-0.05424932868017667,6,500,ConcentrationMax,treePerc,Forest mixed,PM10,-1357.4587380613957,0.1083371885460091,0.8269470744862497
wind_abs,0.04348477988575665,0.033412281414782405,0.053557278356730895,6,500,ConcentrationMax,treePerc,Forest mixed,PM10,-1357.4587380613957,0.1083371885460091,0.8269470744862497
green,-0.00687395711693976,-0.019855518009252254,0.006107603775372736,6,500,ConcentrationMax,treePerc,Forest mixed,PM25,35.101441825565416,0.09280204063214989,0.8767410843353333
totEmission,-8.379565256634235e-4,-0.03185712676595522,0.030181213714628372,6,500,ConcentrationMax,treePerc,Forest mixed,PM25,35.101441825565416,0.09280204063214989,0.8767410843353333
total_precipitation,-0.01680779054585466,-0.03145340798949736,-0.002162173102211954,6,500,ConcentrationMax,treePerc,Forest mixed,PM25,35.101441825565416,0.09280204063214989,0.8767410843353333
relative_humidity,-0.010784536128063798,-0.02974203689583236,0.008172964639704764,6,500,ConcentrationMax,treePerc,Forest mixed,PM25,35.101441825565416,0.09280204063214989,0.8767410843353333
temperature_2m,-0.07679069284876439,-0.0971472956835258,-0.05643409001400297,6,500,ConcentrationMax,treePerc,Forest mixed,PM25,35.101441825565416,0.09280204063214989,0.8767410843353333
wind_abs,0.057532128655634236,0.04130747086090565,0.07375678645036282,6,500,ConcentrationMax,treePerc,Forest mixed,PM25,35.101441825565416,0.09280204063214989,0.8767410843353333
green,-0.013164571678512356,-0.0181034831505918,-0.00822566020643291,6,500,ConcentrationMax,treePerc,Forest mixed,O3,-9424.502348784124,0.1823793159416127,0.6910574384546536
totEmission,-0.004889385824045337,-0.01217662069073017,0.0023978490426394975,6,500,ConcentrationMax,treePerc,Forest mixed,O3,-9424.502348784124,0.1823793159416127,0.6910574384546536
total_precipitation,0.02374526931535974,0.018340386988518618,0.029150151642200865,6,500,ConcentrationMax,treePerc,Forest mixed,O3,-9424.502348784124,0.1823793159416127,0.6910574384546536
relative_humidity,-0.07074552774167736,-0.07691171681165815,-0.06457933867169657,6,500,ConcentrationMax,treePerc,Forest mixed,O3,-9424.502348784124,0.1823793159416127,0.6910574384546536
temperature_2m,-7.116132224120453e-6,-0.007297149075446644,0.007282916810998403,6,500,ConcentrationMax,treePerc,Forest mixed,O3,-9424.502348784124,0.1823793159416127,0.6910574384546536
wind_abs,4.185343994735166e-5,-0.005857891192388857,0.00594159807228356,6,500,ConcentrationMax,treePerc,Forest mixed,O3,-9424.502348784124,0.1823793159416127,0.6910574384546536
green,0.010740077292502733,-0.007709070201217831,0.029189224786223295,6,500,ConcentrationMax,treePerc,Mediterranean forest/shrubland,NO2,-955.5873319705133,0.05752872006539554,0.8732668235336029
totEmission,0.0160559423926204,-0.0057525458082997236,0.03786443059354053,6,500,ConcentrationMax,treePerc,Mediterranean forest/shrubland,NO2,-955.5873319705133,0.05752872006539554,0.8732668235336029
total_precipitation,-0.03825150644526099,-0.05171217809650189,-0.0247908347940201,6,500,ConcentrationMax,treePerc,Mediterranean forest/shrubland,NO2,-955.5873319705133,0.05752872006539554,0.8732668235336029
relative_humidity,-0.0617341176832768,-0.08755046718693474,-0.03591776817961886,6,500,ConcentrationMax,treePerc,Mediterranean forest/shrubland,NO2,-955.5873319705133,0.05752872006539554,0.8732668235336029
temperature_2m,-0.04690726933770323,-0.07153529200130329,-0.022279246674103158,6,500,ConcentrationMax,treePerc,Mediterranean forest/shrubland,NO2,-955.5873319705133,0.05752872006539554,0.8732668235336029
