"site","site_name","latitude","longitude","elevation","country","country_iso_code","site_type","site_area","date_start","date_end","network","eu_code","eoi_code","observation_count","data_source"
"rs0038a","Kostolac",44.71749,21.173399,75,"serbia","RS","industrial","suburban",2011-01-01 00:00:00,2022-06-14 02:00:00,"NET-RS002A","STA-RS0038A","RS0038A",150594,"airbase; aqer:e1a; aqer:e2a"
"rs0039a","Smederevo-Carina",44.652336,20.931675,147,"serbia","RS","background","suburban",2011-01-01 00:00:00,2022-06-14 01:00:00,"NET-RS002A","STA-RS0039A","RS0039A",136193,"airbase; aqer:e1a; aqer:e2a"
"rs0040a","Loznica",44.53224,19.214534,122,"serbia","RS","background","urban",2011-01-01 00:00:00,2014-12-30 23:00:00,"NET-RS002A","STA-RS0040A","RS0040A",3707,"airbase; aqer:e1a"
"rs0041a","Valjevo",44.273049,19.899006,181,"serbia","RS","background","urban",2011-01-01 00:00:00,2022-06-14 01:00:00,"NET-RS002A","STA-RS0041A","RS0041A",189216,"airbase; aqer:e1a; aqer:e2a"
"rs0042a","Bor-Institut",44.059937,22.101434,389,"serbia","RS","industrial","urban",2011-01-01 00:00:00,2022-06-14 02:00:00,"NET-RS002A","STA-RS0042A","RS0042A",145329,"airbase; aqer:e1a; aqer:e2a"
"rs0043a","Kragujevac",44.011573,20.925031,175,"serbia","RS","background","urban",2011-01-01 00:00:00,2022-06-14 01:00:00,"NET-RS002A","STA-RS0043A","RS0043A",198634,"airbase; aqer:e1a; aqer:e2a"
"rs0044a","Zajecar",43.902072,22.273255,133,"serbia","RS","background","urban",2011-01-01 00:00:00,2022-06-14 01:00:00,"NET-RS002A","STA-RS0044A","RS0044A",97104,"airbase; aqer:e1a; aqer:e2a"
"rs0045a","Cacak-Institut",43.89316,20.345513,242,"serbia","RS","background","suburban",2011-01-01 00:00:00,2022-06-14 02:00:00,"NET-RS002A","STA-RS0045A","RS0045A",185217,"airbase; aqer:e1a; aqer:e2a"
"rs0046a","Krusevac",43.58547,21.307667,152,"serbia","RS","background","urban",2011-01-01 00:00:00,2022-06-14 01:00:00,"NET-RS002A","STA-RS0046A","RS0046A",58349,"airbase; aqer:e1a; aqer:e2a"
"rs0047a","Kopaonik",43.28414,20.802102,1712,"serbia","RS","background","rural",2011-01-01 00:00:00,2022-06-14 01:00:00,"NET-RS002A","STA-RS0047A","RS0047A",39747,"airbase; aqer:e1a; aqer:e2a"
